iter	RMSE
0	13.94288605
1	13.67456414
2	13.42927967
3	13.23016255
4	13.03615251
5	12.87025765
6	12.73248829
7	12.62176216
8	12.51694201
9	12.40778237
10	12.31606794
11	12.23377193
12	12.15760458
13	12.0946383
14	12.02320068
15	11.96238933
16	11.88724804
17	11.82742134
18	11.76521568
19	11.70815314
20	11.66102085
21	11.62079743
22	11.56086791
23	11.50829394
24	11.46844074
25	11.42249083
26	11.37727554
27	11.32907863
28	11.28788156
29	11.25904317
30	11.23092801
31	11.19465023
32	11.15979171
33	11.13641468
34	11.08710521
35	11.05005002
36	11.01649699
37	10.97912725
38	10.93985234
39	10.90877812
40	10.88504102
41	10.85499928
42	10.83207555
43	10.81202818
44	10.7893376
45	10.76363516
46	10.73277575
47	10.70984379
48	10.68603522
49	10.66460912
50	10.64654906
51	10.60328715
52	10.57942506
53	10.56345799
54	10.54801231
55	10.5277659
56	10.51476997
57	10.49536474
58	10.47420206
59	10.45691346
60	10.43692095
61	10.42394112
62	10.40323317
63	10.38237506
64	10.37324156
65	10.35322815
66	10.33219293
67	10.31640752
68	10.30255323
69	10.27963621
70	10.26114548
71	10.24846976
72	10.22485777
73	10.21243433
74	10.18779381
75	10.16602754
76	10.15709924
77	10.13525533
78	10.12221751
79	10.10795918
80	10.08996743
81	10.07934161
82	10.06336417
83	10.04992406
84	10.03245534
85	10.013064
86	9.999050723
87	9.981196678
88	9.970912035
89	9.953492926
90	9.943495741
91	9.9282397
92	9.912199287
93	9.897719725
94	9.884099109
95	9.872935101
96	9.860213645
97	9.851100396
98	9.833639267
99	9.8213319
100	9.813659949
101	9.804606145
102	9.79142217
103	9.775216738
104	9.764945011
105	9.756090332
106	9.744009405
107	9.730089883
108	9.71991915
109	9.709578699
110	9.702125736
111	9.686038118
112	9.677618055
113	9.665912671
114	9.653311849
115	9.639690692
116	9.631918341
117	9.618137505
118	9.60336741
119	9.591029409
120	9.581954877
121	9.568912337
122	9.558043128
123	9.547431864
124	9.537038972
125	9.522152408
126	9.50669167
127	9.499127964
128	9.490384182
129	9.48100129
130	9.469815573
131	9.461746907
132	9.451911136
133	9.441724144
134	9.43401886
135	9.417873667
136	9.410835991
137	9.403848935
138	9.39821068
139	9.390552845
140	9.376606582
141	9.365605469
142	9.358442899
143	9.349920979
144	9.338906803
145	9.331076409
146	9.31789763
147	9.309919068
148	9.300443874
149	9.291515849
150	9.278374625
151	9.266997483
152	9.26034954
153	9.251367962
154	9.244256657
155	9.234310899
156	9.226142412
157	9.211233549
158	9.205951365
159	9.198364912
160	9.186742144
161	9.17311422
162	9.162103456
163	9.152984658
164	9.147762549
165	9.138397014
166	9.129922457
167	9.12253088
168	9.114090763
169	9.106805415
170	9.09724437
171	9.089335775
172	9.081053104
173	9.076049964
